model,question_id,dataset,n_items,len_hardest,len_easiest,len_random,saving_hardest_pct,saving_easiest_pct
Qwen/Qwen2.5-14B-Instruct,essay_set_1,asap_sas,1176,4,25,37.345,89.28906145400991,33.05663408756192
Qwen/Qwen2.5-14B-Instruct,essay_set_10,asap_sas,1163,20,25,37.71,46.96367011402811,33.70458764253514
Qwen/Qwen2.5-14B-Instruct,essay_set_2,asap_sas,890,4,25,40.62,90.15263417035942,38.453963564746424
Qwen/Qwen2.5-14B-Instruct,essay_set_3,asap_sas,1151,4,25,51.865,92.28766991227224,51.79793695170154
Qwen/Qwen2.5-14B-Instruct,essay_set_4,asap_sas,1079,59,25,26.12,-125.88055130168452,4.287901990811642
Qwen/Qwen2.5-14B-Instruct,essay_set_5,asap_sas,1389,39,25,25.35,-53.84615384615383,1.3806706114398477
Qwen/Qwen2.5-14B-Instruct,essay_set_6,asap_sas,1383,4,25,32.225,87.58727695888285,22.420480993017847
Qwen/Qwen2.5-14B-Instruct,essay_set_8,asap_sas,1236,4,25,45.44,91.19718309859155,44.982394366197184
Qwen/Qwen2.5-14B-Instruct,essay_set_9,asap_sas,1159,5,25,28.915,82.70793705689088,13.539685284454434
Qwen/Qwen2.5-32B-Instruct,essay_set_1,asap_sas,1176,4,25,37.335,89.28619258068836,33.03870362930226
Qwen/Qwen2.5-32B-Instruct,essay_set_10,asap_sas,1163,6,25,26.785,77.59940265073735,6.664177711405637
Qwen/Qwen2.5-32B-Instruct,essay_set_2,asap_sas,890,4,25,38.635,89.64669341270867,35.29183382942927
Qwen/Qwen2.5-32B-Instruct,essay_set_3,asap_sas,1151,4,25,37.585,89.35745643208726,33.484102700545435
Qwen/Qwen2.5-32B-Instruct,essay_set_4,asap_sas,1079,39,25,25.21,-54.70051566838555,0.8330027766759255
Qwen/Qwen2.5-32B-Instruct,essay_set_5,asap_sas,1389,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,essay_set_6,asap_sas,1383,4,25,34.655,88.4576540181792,27.860337613619972
Qwen/Qwen2.5-32B-Instruct,essay_set_7,asap_sas,1383,4,25,75.8,94.72295514511873,67.01846965699208
Qwen/Qwen2.5-32B-Instruct,essay_set_8,asap_sas,1236,5,25,33.17,84.92613807657521,24.630690382876097
Qwen/Qwen2.5-32B-Instruct,essay_set_9,asap_sas,1159,6,25,25.7,76.65369649805447,2.7237354085603087
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_1,asap_sas,1176,4,25,60.975,93.439934399344,58.99958999589996
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_10,asap_sas,1163,4,25,30.525,86.8959868959869,18.099918099918096
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_2,asap_sas,890,4,25,45.895,91.28445364418782,45.527835276173874
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_3,asap_sas,1151,4,25,27.94,85.68360773085183,10.522548317823913
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_4,asap_sas,1079,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_5,asap_sas,1389,46,25,25.315,-81.71044835078017,1.244321548489043
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_6,asap_sas,1383,4,25,29.2,86.3013698630137,14.383561643835616
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_8,asap_sas,1236,4,25,35.645,88.77822976574554,29.86393603590967
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_9,asap_sas,1159,5,25,26.295,80.98497813272485,4.924890663624269
Qwen/Qwen2.5-7B-Instruct,essay_set_1,asap_sas,1176,4,25,65.24,93.86879215205396,61.679950950337215
Qwen/Qwen2.5-7B-Instruct,essay_set_10,asap_sas,1163,12,25,29.09,58.74871089721554,14.059814369199037
Qwen/Qwen2.5-7B-Instruct,essay_set_2,asap_sas,890,4,25,84.605,95.27214703622717,70.45091897641983
Qwen/Qwen2.5-7B-Instruct,essay_set_3,asap_sas,1151,32,25,26.12,-22.5114854517611,4.287901990811642
Qwen/Qwen2.5-7B-Instruct,essay_set_4,asap_sas,1079,8,25,25.56,68.70109546165885,2.1909233176838763
Qwen/Qwen2.5-7B-Instruct,essay_set_5,asap_sas,1389,59,25,25.49,-131.4633189486073,1.9223224794036815
Qwen/Qwen2.5-7B-Instruct,essay_set_6,asap_sas,1383,4,25,30.38,86.83344305464121,17.709019091507567
Qwen/Qwen2.5-7B-Instruct,essay_set_7,asap_sas,1383,4,25,65.435,93.88706349812792,61.79414686329946
Qwen/Qwen2.5-7B-Instruct,essay_set_8,asap_sas,1236,5,25,40.43,87.63294583230274,38.164729161513726
