model,question_id,dataset,n_items,len_random,len_hardest_full,len_hardest_loo,len_confidence,saving_full_pct,saving_loo_pct,saving_conf_pct
Qwen/Qwen2.5-14B-Instruct,essay_set_1,asap_sas,1176,37.345,4,4,80,89.28906145400991,89.28906145400991,-114.21877091980186
Qwen/Qwen2.5-14B-Instruct,essay_set_10,asap_sas,1163,37.71,20,32,73,46.96367011402811,15.141872182444976,-93.58260408379739
Qwen/Qwen2.5-14B-Instruct,essay_set_2,asap_sas,890,40.62,4,4,25,90.15263417035942,90.15263417035942,38.453963564746424
Qwen/Qwen2.5-14B-Instruct,essay_set_3,asap_sas,1151,51.865,4,4,87,92.28766991227224,92.28766991227224,-67.74317940807866
Qwen/Qwen2.5-14B-Instruct,essay_set_4,asap_sas,1079,26.12,59,46,25,-125.88055130168452,-76.11026033690658,4.287901990811642
Qwen/Qwen2.5-14B-Instruct,essay_set_5,asap_sas,1389,25.35,39,39,25,-53.84615384615383,-53.84615384615383,1.3806706114398477
Qwen/Qwen2.5-14B-Instruct,essay_set_6,asap_sas,1383,32.225,4,4,66,87.58727695888285,87.58727695888285,-104.80993017843288
Qwen/Qwen2.5-14B-Instruct,essay_set_8,asap_sas,1236,45.44,4,4,73,91.19718309859155,91.19718309859155,-60.65140845070424
Qwen/Qwen2.5-14B-Instruct,essay_set_9,asap_sas,1159,28.915,5,5,39,82.70793705689088,82.70793705689088,-34.878090956251086
Qwen/Qwen2.5-32B-Instruct,essay_set_1,asap_sas,1176,37.335,4,4,25,89.28619258068836,89.28619258068836,33.03870362930226
Qwen/Qwen2.5-32B-Instruct,essay_set_10,asap_sas,1163,26.785,6,7,25,77.59940265073735,73.86596975919359,6.664177711405637
Qwen/Qwen2.5-32B-Instruct,essay_set_2,asap_sas,890,38.635,4,4,66,89.64669341270867,89.64669341270867,-70.82955869030673
Qwen/Qwen2.5-32B-Instruct,essay_set_3,asap_sas,1151,37.585,4,4,25,89.35745643208726,89.35745643208726,33.484102700545435
Qwen/Qwen2.5-32B-Instruct,essay_set_4,asap_sas,1079,25.21,39,39,25,-54.70051566838555,-54.70051566838555,0.8330027766759255
Qwen/Qwen2.5-32B-Instruct,essay_set_5,asap_sas,1389,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,essay_set_6,asap_sas,1383,34.655,4,4,66,88.4576540181792,88.4576540181792,-90.44870870004328
Qwen/Qwen2.5-32B-Instruct,essay_set_7,asap_sas,1383,75.8,4,4,25,94.72295514511873,94.72295514511873,67.01846965699208
Qwen/Qwen2.5-32B-Instruct,essay_set_8,asap_sas,1236,33.17,5,5,39,84.92613807657521,84.92613807657521,-17.576123002713288
Qwen/Qwen2.5-32B-Instruct,essay_set_9,asap_sas,1159,25.7,6,59,25,76.65369649805447,-129.57198443579765,2.7237354085603087
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_1,asap_sas,1176,60.975,4,4,22,93.439934399344,93.439934399344,63.91963919639196
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_10,asap_sas,1163,30.525,4,4,39,86.8959868959869,86.8959868959869,-27.76412776412777
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_2,asap_sas,890,45.895,4,4,32,91.28445364418782,91.28445364418782,30.275629153502564
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_3,asap_sas,1151,27.94,4,6,25,85.68360773085183,78.52541159627773,10.522548317823913
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_4,asap_sas,1079,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_5,asap_sas,1389,25.315,46,46,25,-81.71044835078017,-81.71044835078017,1.244321548489043
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_6,asap_sas,1383,29.2,4,4,101,86.3013698630137,86.3013698630137,-245.89041095890408
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_8,asap_sas,1236,35.645,4,4,73,88.77822976574554,88.77822976574554,-104.79730677514377
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_9,asap_sas,1159,26.295,5,7,25,80.98497813272485,73.3789693858148,4.924890663624269
Qwen/Qwen2.5-7B-Instruct,essay_set_1,asap_sas,1176,65.24,4,4,26,93.86879215205396,93.86879215205396,60.14714898835071
Qwen/Qwen2.5-7B-Instruct,essay_set_10,asap_sas,1163,29.09,12,13,25,58.74871089721554,55.3111034719835,14.059814369199037
Qwen/Qwen2.5-7B-Instruct,essay_set_2,asap_sas,890,84.605,4,5,130,95.27214703622717,94.09018379528396,-53.65522132261687
Qwen/Qwen2.5-7B-Instruct,essay_set_3,asap_sas,1151,26.12,32,32,25,-22.5114854517611,-22.5114854517611,4.287901990811642
Qwen/Qwen2.5-7B-Instruct,essay_set_4,asap_sas,1079,25.56,8,53,25,68.70109546165885,-107.35524256651019,2.1909233176838763
Qwen/Qwen2.5-7B-Instruct,essay_set_5,asap_sas,1389,25.49,59,46,32,-131.4633189486073,-80.46292663789723,-25.539427226363287
Qwen/Qwen2.5-7B-Instruct,essay_set_6,asap_sas,1383,30.38,4,5,60,86.83344305464121,83.54180381830152,-97.49835418038184
Qwen/Qwen2.5-7B-Instruct,essay_set_7,asap_sas,1383,65.435,4,6,32,93.88706349812792,90.83059524719187,51.09650798502331
Qwen/Qwen2.5-7B-Instruct,essay_set_8,asap_sas,1236,40.43,5,5,25,87.63294583230274,87.63294583230274,38.164729161513726
Qwen/Qwen2.5-7B-Instruct,essay_set_9,asap_sas,1159,29.445,66,53,39,-124.14671421293937,-79.99660383766344,-32.450331125827816
Qwen/Qwen3-14B,essay_set_1,asap_sas,1176,38.07,4,4,39,89.49303913842921,89.49303913842921,-2.4428684003152084
Qwen/Qwen3-14B,essay_set_10,asap_sas,1163,34.34,4,4,25,88.35177635410601,88.35177635410601,27.1986022131625
Qwen/Qwen3-14B,essay_set_2,asap_sas,890,39.875,4,4,59,89.96865203761756,89.96865203761756,-47.96238244514107
Qwen/Qwen3-14B,essay_set_3,asap_sas,1151,42.46,4,4,121,90.57936881771079,90.57936881771079,-184.97409326424867
