model,question_id,dataset,aggregate_rate,Q1_hardest_rate,Q2_rate,Q3_rate,Q4_easiest_rate,hardest_tier,degraded,n_items,gap
Qwen/Qwen2.5-14B-Instruct,essay_set_1,asap_sas,0.9558,0.8637602179836512,0.993103448275862,1.0,,silver,True,1176,
Qwen/Qwen2.5-14B-Instruct,essay_set_10,asap_sas,0.9518,0.8282208588957055,1.0,,,silver,True,1163,
Qwen/Qwen2.5-14B-Instruct,essay_set_2,asap_sas,0.9416,0.7831858407079646,0.9938650306748467,,1.0,bronze,True,890,0.2168141592920354
Qwen/Qwen2.5-14B-Instruct,essay_set_3,asap_sas,0.927,0.9270199826238054,,,,gold,False,1151,
Qwen/Qwen2.5-14B-Instruct,essay_set_4,asap_sas,0.9935,0.9935125115848007,,,,gold,False,1079,
Qwen/Qwen2.5-14B-Instruct,essay_set_5,asap_sas,0.9978,0.9978401727861771,,,,gold,False,1389,
Qwen/Qwen2.5-14B-Instruct,essay_set_6,asap_sas,0.9704,0.970354302241504,,,,gold,False,1383,
Qwen/Qwen2.5-14B-Instruct,essay_set_8,asap_sas,0.9369,0.8765822784810127,,1.0,,silver,True,1236,
Qwen/Qwen2.5-14B-Instruct,essay_set_9,asap_sas,0.9802,0.9801553062985332,,,,gold,False,1159,
Qwen/Qwen2.5-32B-Instruct,essay_set_1,asap_sas,0.9532,0.8501362397820164,1.0,1.0,,silver,True,1176,
Qwen/Qwen2.5-32B-Instruct,essay_set_10,asap_sas,0.988,0.9570552147239264,1.0,,,gold,False,1163,
Qwen/Qwen2.5-32B-Instruct,essay_set_2,asap_sas,0.9483,0.8008849557522124,0.9979550102249489,,1.0,silver,True,890,0.1991150442477876
Qwen/Qwen2.5-32B-Instruct,essay_set_3,asap_sas,0.9566,0.9565595134665508,,,,gold,False,1151,
Qwen/Qwen2.5-32B-Instruct,essay_set_4,asap_sas,0.9981,0.9981464318813716,,,,gold,False,1079,
Qwen/Qwen2.5-32B-Instruct,essay_set_5,asap_sas,1.0,1.0,,,,gold,False,1389,
Qwen/Qwen2.5-32B-Instruct,essay_set_6,asap_sas,0.9588,0.9587852494577006,,,,gold,False,1383,
Qwen/Qwen2.5-32B-Instruct,essay_set_7,asap_sas,0.8894,0.5761772853185596,1.0,,,reject,True,1383,
Qwen/Qwen2.5-32B-Instruct,essay_set_8,asap_sas,0.966,0.9335443037974683,,1.0,,gold,False,1236,
Qwen/Qwen2.5-32B-Instruct,essay_set_9,asap_sas,0.9957,0.9956859361518551,,,,gold,False,1159,
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_1,asap_sas,0.9107,0.7138964577656676,1.0,1.0,,bronze,True,1176,
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_10,asap_sas,0.9725,0.901840490797546,1.0,,,gold,False,1163,
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_2,asap_sas,0.9337,0.7389380530973452,1.0,,1.0,bronze,True,890,0.26106194690265483
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_3,asap_sas,0.987,0.9869678540399652,,,,gold,False,1151,
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_4,asap_sas,1.0,1.0,,,,gold,False,1079,
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_5,asap_sas,0.9978,0.9978401727861771,,,,gold,False,1389,
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_6,asap_sas,0.9826,0.982646420824295,,,,gold,False,1383,
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_8,asap_sas,0.9587,0.9193037974683544,,1.0,,gold,False,1236,
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_9,asap_sas,0.994,0.993960310612597,,,,gold,False,1159,
Qwen/Qwen2.5-7B-Instruct,essay_set_1,asap_sas,0.9014,0.7111716621253406,0.9655172413793104,1.0,,bronze,True,1176,
Qwen/Qwen2.5-7B-Instruct,essay_set_10,asap_sas,0.9802,0.9294478527607362,1.0,,,gold,False,1163,
Qwen/Qwen2.5-7B-Instruct,essay_set_2,asap_sas,0.8427,0.6283185840707964,0.885480572597137,,1.0,reject,True,890,0.37168141592920356
Qwen/Qwen2.5-7B-Instruct,essay_set_3,asap_sas,0.9948,0.9947871416159861,,,,gold,False,1151,
Qwen/Qwen2.5-7B-Instruct,essay_set_4,asap_sas,0.9963,0.9962928637627433,,,,gold,False,1079,
Qwen/Qwen2.5-7B-Instruct,essay_set_5,asap_sas,0.9964,0.9964002879769619,,,,gold,False,1389,
Qwen/Qwen2.5-7B-Instruct,essay_set_6,asap_sas,0.9747,0.9746926970354303,,,,gold,False,1383,
Qwen/Qwen2.5-7B-Instruct,essay_set_7,asap_sas,0.8988,0.7119113573407202,0.9647749510763209,,,bronze,True,1383,
Qwen/Qwen2.5-7B-Instruct,essay_set_8,asap_sas,0.9458,0.8939873417721519,,1.0,,silver,True,1236,
Qwen/Qwen2.5-7B-Instruct,essay_set_9,asap_sas,0.9802,0.9801553062985332,,,,gold,False,1159,
Qwen/Qwen3-14B,essay_set_1,asap_sas,0.9507,0.8419618528610354,1.0,1.0,,silver,True,1176,
Qwen/Qwen3-14B,essay_set_10,asap_sas,0.9613,0.8619631901840491,1.0,,,silver,True,1163,
Qwen/Qwen3-14B,essay_set_2,asap_sas,0.9472,0.7920353982300885,1.0,,1.0,bronze,True,890,0.2079646017699115
Qwen/Qwen3-14B,essay_set_3,asap_sas,0.9392,0.9391833188531712,,,,gold,False,1151,
Qwen/Qwen3-14B,essay_set_4,asap_sas,0.9787,0.9786839666357738,,,,gold,False,1079,
Qwen/Qwen3-14B,essay_set_5,asap_sas,0.9316,0.931605471562275,,,,gold,False,1389,
Qwen/Qwen3-14B,essay_set_6,asap_sas,0.9262,0.9262472885032538,,,,gold,False,1383,
Qwen/Qwen3-14B,essay_set_9,asap_sas,0.9698,0.9698015530629853,,,,gold,False,1159,
Qwen/Qwen3-32B,essay_set_1,asap_sas,0.9473,0.8310626702997275,1.0,1.0,,silver,True,1176,
Qwen/Qwen3-32B,essay_set_10,asap_sas,0.9407,0.7883435582822086,1.0,,,bronze,True,1163,
Qwen/Qwen3-32B,essay_set_2,asap_sas,0.9449,0.7964601769911505,0.9938650306748467,,1.0,bronze,True,890,0.20353982300884954
Qwen/Qwen3-32B,essay_set_3,asap_sas,0.9878,0.9878366637706343,,,,gold,False,1151,
Qwen/Qwen3-32B,essay_set_4,asap_sas,0.9991,0.9990732159406858,,,,gold,False,1079,
Qwen/Qwen3-32B,essay_set_5,asap_sas,0.964,0.9640028797696184,,,,gold,False,1389,
Qwen/Qwen3-32B,essay_set_6,asap_sas,0.9328,0.9327548806941431,,,,gold,False,1383,
Qwen/Qwen3-32B,essay_set_8,asap_sas,0.9644,0.930379746835443,,1.0,,gold,False,1236,
Qwen/Qwen3-32B,essay_set_9,asap_sas,0.9983,0.998274374460742,,,,gold,False,1159,
Qwen/Qwen3-8B,essay_set_10,asap_sas,0.9218,0.7208588957055214,1.0,,,bronze,True,1163,
Qwen/Qwen3-8B,essay_set_4,asap_sas,0.9722,0.9721964782205746,,,,gold,False,1079,
Qwen/Qwen3-8B,essay_set_5,asap_sas,0.9942,0.994240460763139,,,,gold,False,1389,
Qwen/Qwen3-8B,essay_set_6,asap_sas,0.9595,0.9595083152566883,,,,gold,False,1383,
Qwen/Qwen3-8B,essay_set_7,asap_sas,0.8735,0.5346260387811634,0.9931506849315068,,,reject,True,1383,
Qwen/Qwen3-8B,essay_set_8,asap_sas,0.8867,0.7784810126582279,,1.0,,bronze,True,1236,
Qwen/Qwen3-8B,essay_set_9,asap_sas,0.9836,0.9836065573770492,,,,gold,False,1159,
Qwen/Qwen3.5-27B,essay_set_1,asap_sas,0.9116,0.7166212534059946,1.0,1.0,,bronze,True,1176,
Qwen/Qwen3.5-27B,essay_set_10,asap_sas,0.9785,0.9233128834355828,1.0,,,gold,False,1163,
Qwen/Qwen3.5-27B,essay_set_2,asap_sas,0.9798,0.9203539823008849,1.0,,1.0,gold,False,890,0.07964601769911506
Qwen/Qwen3.5-27B,essay_set_3,asap_sas,0.9748,0.9748045178105995,,,,gold,False,1151,
Qwen/Qwen3.5-27B,essay_set_4,asap_sas,0.9963,0.9962928637627433,,,,gold,False,1079,
Qwen/Qwen3.5-27B,essay_set_5,asap_sas,0.9986,0.9985601151907847,,,,gold,False,1389,
Qwen/Qwen3.5-27B,essay_set_6,asap_sas,0.9819,0.9819233550253073,,,,gold,False,1383,
Qwen/Qwen3.5-27B,essay_set_7,asap_sas,0.9299,0.7313019390581718,1.0,,,bronze,True,1383,
Qwen/Qwen3.5-27B,essay_set_8,asap_sas,0.9806,0.9620253164556962,,1.0,,gold,False,1236,
Qwen/Qwen3.5-27B,essay_set_9,asap_sas,0.9974,0.997411561691113,,,,gold,False,1159,
Qwen/Qwen3.5-35B-A3B,essay_set_1,asap_sas,0.9634,0.885558583106267,0.996551724137931,1.0,,silver,True,1176,
Qwen/Qwen3.5-35B-A3B,essay_set_10,asap_sas,0.9656,0.8773006134969326,1.0,,,silver,True,1163,
Qwen/Qwen3.5-35B-A3B,essay_set_2,asap_sas,0.9438,0.8008849557522124,0.9897750511247444,,1.0,silver,True,890,0.1991150442477876
Qwen/Qwen3.5-35B-A3B,essay_set_3,asap_sas,0.9818,0.9817549956559514,,,,gold,False,1151,
Qwen/Qwen3.5-35B-A3B,essay_set_4,asap_sas,0.9963,0.9962928637627433,,,,gold,False,1079,
Qwen/Qwen3.5-35B-A3B,essay_set_5,asap_sas,0.9971,0.9971202303815695,,,,gold,False,1389,
Qwen/Qwen3.5-35B-A3B,essay_set_6,asap_sas,0.9595,0.9595083152566883,,,,gold,False,1383,
Qwen/Qwen3.5-35B-A3B,essay_set_7,asap_sas,0.9385,0.7728531855955678,0.99706457925636,,,bronze,True,1383,
Qwen/Qwen3.5-35B-A3B,essay_set_8,asap_sas,0.9814,0.9636075949367089,,1.0,,gold,False,1236,
Qwen/Qwen3.5-35B-A3B,essay_set_9,asap_sas,0.9931,0.9930974978429681,,,,gold,False,1159,
Qwen/Qwen3.5-4B,essay_set_1,asap_sas,0.9014,0.6948228882833788,0.9862068965517241,1.0,,reject,True,1176,
Qwen/Qwen3.5-4B,essay_set_10,asap_sas,0.9768,0.9171779141104295,1.0,,,gold,False,1163,
Qwen/Qwen3.5-4B,essay_set_2,asap_sas,0.8607,0.5221238938053098,0.967280163599182,,1.0,reject,True,890,0.47787610619469023
Qwen/Qwen3.5-4B,essay_set_3,asap_sas,0.947,0.947002606429192,,,,gold,False,1151,
Qwen/Qwen3.5-4B,essay_set_4,asap_sas,0.9444,0.9443929564411492,,,,gold,False,1079,
Qwen/Qwen3.5-4B,essay_set_5,asap_sas,0.9971,0.9971202303815695,,,,gold,False,1389,
Qwen/Qwen3.5-4B,essay_set_6,asap_sas,0.9653,0.96529284164859,,,,gold,False,1383,
Qwen/Qwen3.5-4B,essay_set_7,asap_sas,0.9573,0.8448753462603878,0.99706457925636,,,silver,True,1383,
Qwen/Qwen3.5-4B,essay_set_8,asap_sas,0.9749,0.9509493670886076,,1.0,,gold,False,1236,
Qwen/Qwen3.5-4B,essay_set_9,asap_sas,0.9896,0.9896462467644521,,,,gold,False,1159,
Qwen/Qwen3.5-9B,essay_set_1,asap_sas,0.9269,0.771117166212534,0.993103448275862,1.0,,bronze,True,1176,
Qwen/Qwen3.5-9B,essay_set_10,asap_sas,0.9518,0.8282208588957055,1.0,,,silver,True,1163,
Qwen/Qwen3.5-9B,essay_set_2,asap_sas,0.9539,0.8185840707964602,1.0,,1.0,silver,True,890,0.18141592920353977
Qwen/Qwen3.5-9B,essay_set_3,asap_sas,0.8792,0.8792354474370113,,,,silver,True,1151,
Qwen/Qwen3.5-9B,essay_set_4,asap_sas,0.9648,0.9647822057460612,,,,gold,False,1079,
Qwen/Qwen3.5-9B,essay_set_5,asap_sas,0.9942,0.994240460763139,,,,gold,False,1389,
Qwen/Qwen3.5-9B,essay_set_6,asap_sas,0.9689,0.9689081706435285,,,,gold,False,1383,
Qwen/Qwen3.5-9B,essay_set_8,asap_sas,0.9426,0.8876582278481012,,1.0,,silver,True,1236,
Qwen/Qwen3.5-9B,essay_set_9,asap_sas,0.9827,0.9827437446074202,,,,gold,False,1159,
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_1,asap_sas,0.8793,0.7547683923705722,0.8206896551724138,1.0,,bronze,True,1176,
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_10,asap_sas,0.9338,0.7638036809815951,1.0,,,bronze,True,1163,
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_2,asap_sas,0.8742,0.6460176991150443,0.934560327198364,,1.0,reject,True,890,0.35398230088495575
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_3,asap_sas,0.874,0.8740225890529973,,,,silver,True,1151,
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_4,asap_sas,0.988,0.9879518072289156,,,,gold,False,1079,
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_5,asap_sas,0.9964,0.9964002879769619,,,,gold,False,1389,
